Year,SSP1,SSP2,SSP3,SSP4,SSP5
1900,5530000,5530000,5530000,5530000,5530000
1905,6190000,6190000,6190000,6190000,6190000
1910,7180000,7180000,7180000,7180000,7180000
1915,8140000,8140000,8140000,8140000,8140000
1920,8760000,8760000,8760000,8760000,8760000
1925,9520000,9520000,9520000,9520000,9520000
1930,10400000,10400000,10400000,10400000,10400000
1935,11100000,11100000,11100000,11100000,11100000
1940,11700000,11700000,11700000,11700000,11700000
1945,12400000,12400000,12400000,12400000,12400000
1950,13730000,13730000,13730000,13730000,13730000
1955,15670000,15670000,15670000,15670000,15670000
1960,17850000,17850000,17850000,17850000,17850000
1965,19630000,19630000,19630000,19630000,19630000
1970,21370000,21370000,21370000,21370000,21370000
1975,23060000,23060000,23060000,23060000,23060000
1980,24420000,24420000,24420000,24420000,24420000
1985,25740000,25740000,25740000,25740000,25740000
1990,27540000,27540000,27540000,27540000,27540000
1995,29160000,29160000,29160000,29160000,29160000
2000,30590000,30590000,30590000,30590000,30590000
2005,32160000,32160000,32160000,32160000,32160000
2010,34150000,34150000,34150000,34150000,34150000
2015,36030000,36030000,36030000,36030000,36030000
2020,37758236,37758236,37758236,37758236,37758236
2025,38656930,38643509,38402661,38559104,39207187
2030,39483135,39443004,38954754,39188844,40649497
2035,40264983,40185866,39441127,39666040,42116750
2040,40980694,40862898,39857193,39969659,43580671
2045,41670639,41505006,40196602,40196831,45072932
2050,42362036,42171046,40565144,40390979,46606012
2055,42910563,42738774,40879299,40459451,47992121
2060,43350025,43273856,41250334,40457022,49250608
2065,43693804,43765387,41690785,40374075,50329717
2070,43984628,44224157,42197387,40211156,51274662
2075,44192317,44601111,42721306,39918137,52056321
2080,44236531,44846438,43228693,39450858,52590093
2085,44015696,44926913,43712173,38784085,52766892
2090,43374843,44839693,44192449,37919156,52412737
2095,42318186,44615118,44713460,36882650,51517753
2100,40940196,44290476,45299176,35708477,50151048
